n,d,num_cliques,C_max,fidelity,KL,success_rate,num_gates,depth,shots,w_min,w_max
1,2,1,1,0.999991314960061,1.735417314892556e-05,0.132624,63,40,1000000,-2.5777798831574015,-1.6666344207975587
1,2,1,1,0.9999537325489649,9.262223554326425e-05,0.012251,61,39,1000000,-4.627406142444488,-4.234930280547703
1,2,1,1,0.9999991495749733,1.6997719575806208e-06,0.269529,48,29,1000000,-2.5809338818407537,-0.7706875850072175
1,2,1,1,0.999995509760328,8.982127065146426e-06,0.048164,60,38,1000000,-3.1667481404987443,-2.9141237277831795
1,2,1,1,0.9999987714937488,2.459777743115364e-06,0.099105,61,38,1000000,-4.114124638431963,-1.7051604749150893
1,2,1,1,0.9999954943885839,8.998347661978061e-06,0.120857,61,38,1000000,-3.362386671527903,-1.5769233290921258
1,2,1,1,0.9999808751943784,3.822549837853139e-05,0.033154,59,37,1000000,-3.6504773661530034,-3.2078909825768283
1,2,1,1,0.9999999026353555,1.9474131187822118e-07,0.524552,49,29,1000000,-0.9792334886168543,-0.3949982038522988
1,2,1,1,0.9999996792153434,6.40717634347313e-07,0.365845,46,27,1000000,-4.27910125155449,-0.3328117055240698
1,2,1,1,0.999999976323725,4.73567662797079e-08,0.049988,46,27,1000000,-4.061377392820893,-2.4923672797936836
2,4,1,2,0.9999998429244956,3.139978412980285e-07,0.522112,300,199,1000000,-2.6764414938603704,-0.2595908668091065
2,4,1,2,0.9999975779005859,4.838633809571189e-06,0.065995,294,184,1000000,-4.740719478918542,-1.6780683515936032
2,4,1,2,0.9999966538247641,6.694184878950813e-06,0.239605,317,220,1000000,-4.907011961818383,-0.5829625011204564
2,4,1,2,0.9999972969197161,5.405392858853948e-06,0.143501,254,167,1000000,-4.61482405855792,-1.3829064229625234
2,4,1,2,0.99999847193268,3.0533541263543656e-06,0.399707,300,196,1000000,-4.847937440345125,-0.11260442796765169
2,4,1,2,0.999999566092499,8.678530855748276e-07,0.54102,256,170,1000000,-4.72891512108366,-0.1033600774391088
2,4,1,2,0.9999993832254189,1.2336442817964045e-06,0.149081,349,230,1000000,-4.293802665632628,-0.7113080294080385
2,4,1,2,0.9999988096056808,2.379265568669139e-06,0.250974,321,212,1000000,-4.134682214309491,-0.08979914502174768
2,4,1,2,0.9999987711797789,2.45605647815091e-06,0.260505,265,172,1000000,-4.108940213998413,-0.09177223996874151
2,4,1,2,0.9999930397379365,1.3929024431414663e-05,0.142748,293,202,1000000,-3.4278409384391963,-1.055520178235012
3,8,2,2,0.9999015017720813,0.00020069077248582962,0.039476,2023,1449,1000000,-4.194775377347139,-0.3510427614929732
3,8,2,2,0.9999180295881708,0.00016469235884611832,0.024171,1841,1285,1000000,-3.6413849847496365,-0.25618133787177744
3,8,2,2,0.999935625497577,0.00013068931319629726,0.04424,2187,1616,1000000,-4.806446984448849,-0.6353600590815889
3,8,2,2,0.9999187289794149,0.000163984785290585,0.028551,2107,1489,1000000,-4.368188062421268,-0.18169312343066224
3,8,2,2,0.9999709889230881,5.7681742899024516e-05,0.033413,2001,1401,1000000,-4.779024952414534,-0.07738883444537326
3,8,2,2,0.9999507399818455,9.667081371628352e-05,0.034518,2178,1578,1000000,-4.225913377569606,-0.5873036512669749
3,8,2,2,0.999955769039569,8.850041779876242e-05,0.022793,2014,1407,1000000,-4.656906462977589,-0.012434341160337148
3,8,2,2,0.9998371870420178,0.0003274165023874221,0.006634,1871,1332,1000000,-4.943500884955694,-0.7306334375436405
3,8,2,2,0.9999894087429197,2.1590228185115234e-05,0.107387,2131,1512,1000000,-4.741290237910554,-0.2914625796922703
3,8,2,2,0.999941570056139,0.00011985414085999314,0.022881,2086,1516,1000000,-4.654404332261107,-0.24092025084504076
4,12,3,2,0.9999079248871526,0.00018529171747959166,0.037588,10879,8450,1000000,-3.4091311380215226,-0.03757337900987512
4,12,3,2,0.9999114021990532,0.000176991936501569,0.028904,10599,8226,1000000,-4.9475300541746,-0.28234960076708404
4,12,3,2,0.9983732619541561,0.001126037561294813,0.002765,10682,8338,1000000,-4.22185737743676,-0.23087499329382677
4,12,3,2,0.9995335679010396,0.0009357604870189316,0.006522,11135,8747,1000000,-3.7487207147861055,-0.06069147272714748
4,12,3,2,0.992333893572323,0.014992775198544323,0.000525,9670,7345,1000000,-4.929572863974229,-0.694521396584264
4,12,3,2,0.9896755056062474,0.013904525482462519,0.000291,10431,8108,1000000,-4.848452621261288,-0.1650978973422621
4,12,3,2,0.9968477690838439,0.006440492700252499,0.000637,10792,8393,1000000,-4.355475590917583,-0.11043493546865601
4,12,3,2,0.9992945471336167,0.0009857971752678754,0.007459,10370,8015,1000000,-3.9750077343271553,-0.6537104705936914
4,12,3,2,0.9994891471129118,0.0010211003379478178,0.010591,10658,8373,1000000,-4.077131715834188,-0.04485707070410072
4,12,3,2,0.9923893058350066,0.012857981629511728,0.000815,10494,8163,1000000,-4.4967879273640445,-0.38774454859710605
4,16,4,2,0.9743753790603101,0.022197214592671752,0.000189,12748,9907,1000000,-4.744682484880768,-0.5768254541675271
4,16,4,2,0.9980674838947734,0.003909811676366379,0.001922,12737,9883,1000000,-4.991526194294917,-0.2601734094578587
4,16,4,2,0.998952752978202,0.0012952769370939872,0.002018,13129,10244,1000000,-4.966167664801953,-0.132905854392126
4,16,4,2,0.9977098282628171,0.0021392905012716165,0.001993,12491,9672,1000000,-4.272242240786553,-0.6279208679919188
4,16,4,2,0.9987675790759397,0.0023842242066966363,0.0009,12852,9971,1000000,-4.039162075916532,-0.3662787147252464
4,16,4,2,0.9975575984620125,0.0021829287127662846,0.001473,12584,9701,1000000,-3.8462759219243097,-0.33968992955607824
4,16,4,2,0.9262732502258196,0.09778571057476738,7.8e-05,13128,10240,1000000,-4.851445282387849,-0.1808501279695145
4,16,4,2,0.9874719999514344,0.01654543446052415,0.000234,12815,10001,1000000,-4.982555386362322,-0.20714426847711298
4,16,4,2,0.9956223659519784,0.004328881280300622,0.000475,13303,10337,1000000,-4.64580452313124,-0.09448900346289335
4,16,4,2,0.9968911601270415,0.005121870723635834,0.001046,12860,10119,1000000,-4.8323808412671285,-0.08001608047694742
4,16,2,3,0.99993899771426,0.00012149143449916884,0.057512,12574,9853,1000000,-4.837334186317717,-0.05988795465013386
4,16,2,3,0.9999637838555487,7.357497609661431e-05,0.087038,12937,10172,1000000,-4.982139702775938,-0.05450212367992968
4,16,2,3,0.9999350386516139,0.00012946660076691084,0.027941,12167,9480,1000000,-4.17769400165217,-0.7262687427400492
4,16,2,3,0.9997791920363999,0.00044724598985800354,0.016342,12281,9543,1000000,-4.697863930576252,-0.6564313713340759
4,16,2,3,0.9997438053918731,0.0005240347753072562,0.015653,11825,9162,1000000,-4.8501212665875695,-0.02716681342402083
4,16,2,3,0.9998780119852944,0.00025068261823283625,0.023902,12851,10065,1000000,-4.859531354165969,-0.11540763990447545
4,16,2,3,0.9999405218184427,0.00012149914449302034,0.06034,12737,10073,1000000,-4.748863884020188,-0.030495515456082423
4,16,2,3,0.9999530364763167,9.399314026305709e-05,0.051052,12327,9534,1000000,-4.6882070877783715,-0.4143130476040273
4,16,2,3,0.9997491177796224,0.0004969830485305081,0.015101,12527,9792,1000000,-4.690355753195698,-0.8836018147082703
4,16,2,3,0.9999587940554843,8.242869874027409e-05,0.051139,12303,9584,1000000,-4.747056524977862,-0.2657613311150815
4,16,1,4,0.9999789068879426,4.230390881481062e-05,0.219845,8371,6423,1000000,-4.9654640251813085,-0.1856247282168022
4,16,1,4,0.9999940917053958,1.1850772990835095e-05,0.339994,8346,6411,1000000,-4.486026089098903,-0.1321520454443803
4,16,1,4,0.9999556332013195,8.856585032458291e-05,0.117011,8369,6458,1000000,-4.702308281177804,-0.7002182636707905
4,16,1,4,0.9999835756565989,3.2882306570798046e-05,0.244846,8730,6814,1000000,-4.682170825501003,-0.11422562031806738
4,16,1,4,0.9999846305567486,3.0819199545242544e-05,0.205585,8823,6854,1000000,-4.542097149848555,-0.13509034045531187
4,16,1,4,0.9999649927329012,7.011024289999835e-05,0.054287,9081,7124,1000000,-4.77969863256898,-1.5909610877984837
4,16,1,4,0.9999935690600619,1.2872779462617641e-05,0.345995,8874,7000,1000000,-4.000854398796254,-0.03990514198976758
4,16,1,4,0.9999842877900706,3.148979856045127e-05,0.304774,8393,6489,1000000,-4.93916069949212,-0.046197372081350885
4,16,1,4,0.9999846236232508,3.0737588099532696e-05,0.159469,8592,6642,1000000,-4.9636642533704745,-0.2449194164764661
4,16,1,4,0.9999429092971592,0.00011496262323788483,0.116208,8969,6984,1000000,-4.819339052778032,-0.8584284831705462
